t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779572264596,1779572264634,321,1779572264582,1779572264582,delta,"0,0.05"
1779572264637,1779572264670,322,1779572264623,1779572264624,delta,"0,0.05"
1779572264678,1779572264707,323,1779572264665,1779572264665,delta,"0,0.05"
1779572264719,1779572264763,324,1779572264706,1779572264706,delta,"0,0.05"
1779572264760,1779572264763,325,1779572264746,1779572264746,delta,"0,0.05"
1779572264802,1779572264834,326,1779572264789,1779572264789,delta,"0,0.05"
1779572264841,1779572264890,327,1779572264828,1779572264828,delta,"0,0.05"
1779572264884,1779572264890,328,1779572264870,1779572264870,delta,"0,0.05"
1779572264924,1779572264924,329,1779572264909,1779572264909,delta,"0,0.05"
1779572264966,1779572265018,330,1779572264952,1779572264952,delta,"0,0.05"
1779572265007,1779572265018,331,1779572264992,1779572264992,delta,"0,0.05"
1779572265048,1779572265051,332,1779572265034,1779572265034,delta,"0,0.05"
1779572265082,1779572265092,333,1779572265069,1779572265069,delta,"0,0.05"
1779572265115,1779572265148,334,1779572265101,1779572265101,delta,"0,0.05"
1779572265148,1779572265148,335,1779572265134,1779572265134,delta,"0,0.05"
1779572265180,1779572265182,336,1779572265167,1779572265167,delta,"0,0.05"
1779572265213,1779572265221,337,1779572265199,1779572265199,delta,"0,0.05"
1779572265246,1779572265276,338,1779572265232,1779572265232,delta,"0,0.05"
1779572265278,1779572265310,339,1779572265264,1779572265264,delta,"0,0.05"
1779572265311,1779572265348,340,1779572265297,1779572265298,delta,"0,0.05"
1779572265344,1779572265348,341,1779572265330,1779572265330,delta,"0,0.05"
1779572265387,1779572265404,342,1779572265372,1779572265372,delta,"0,0.05"
1779572265461,1779572265475,343,1779572265448,1779572265448,delta,"0,0.05"
1779572265467,1779572265476,344,1779572265453,1779572265453,delta,"0,0.05"
1779572265548,1779572265566,345,1779572265534,1779572265534,delta,"0,0.05"
1779572265552,1779572265566,346,1779572265538,1779572265538,delta,"0,0.05"
1779572265592,1779572265609,347,1779572265578,1779572265578,delta,"0,0.05"
1779572265635,1779572265662,348,1779572265622,1779572265622,delta,"0,0.05"
1779572265676,1779572265696,349,1779572265663,1779572265663,delta,"0,0.05"
1779572265718,1779572265734,350,1779572265705,1779572265705,delta,"0,0.05"
1779572265759,1779572265790,351,1779572265745,1779572265745,delta,"0,0.05"
1779572265802,1779572265823,352,1779572265788,1779572265789,delta,"0,0.05"
